Date,Close,Open,High,Low
2024-09-13,16960.0,17020.0,17180.0,16960.0
2024-09-12,17020.0,16920.0,17140.0,16900.0
2024-09-11,16840.0,17300.0,17460.0,16840.0
2024-09-10,17160.0,17500.0,17500.0,17160.0
2024-09-09,17480.0,17180.0,17540.0,17180.0
2024-09-06,17320.0,17400.0,17560.0,17320.0
2024-09-05,17380.0,17500.0,17520.0,17380.0
2024-09-04,17420.0,17700.0,17860.0,17420.0
2024-09-03,18000.0,18000.0,18000.0,17840.0
2024-09-02,17940.0,17520.0,18060.0,17520.0
2024-08-30,18160.0,17400.0,18160.0,17260.0
2024-08-29,17420.0,17420.0,17420.0,17160.0
2024-08-28,17440.0,17360.0,17440.0,17240.0
2024-08-27,17340.0,17220.0,17420.0,17200.0
2024-08-26,17200.0,17240.0,17240.0,17020.0
2024-08-23,17260.0,17620.0,17620.0,17260.0
2024-08-22,17680.0,17800.0,17800.0,17280.0
2024-08-21,17940.0,18040.0,18040.0,17840.0
2024-08-20,18120.0,17900.0,18120.0,17840.0
2024-08-16,18200.0,18180.0,18200.0,17920.0
2024-08-15,18260.0,17820.0,18300.0,17700.0
2024-08-14,18380.0,17500.0,18380.0,17500.0
2024-08-13,17460.0,16980.0,17480.0,16980.0
2024-08-12,16860.0,16420.0,16960.0,16420.0
2024-08-09,16440.0,16600.0,16900.0,16440.0
2024-08-08,16600.0,16740.0,17000.0,16600.0
2024-08-06,16740.0,16960.0,16960.0,16580.0
2024-08-05,16400.0,17020.0,17020.0,16300.0
2024-08-02,17100.0,17600.0,17640.0,17060.0
2024-08-01,17600.0,17660.0,17660.0,17600.0
2024-07-31,17500.0,17700.0,17760.0,17500.0
2024-07-30,17640.0,17860.0,17880.0,17640.0
2024-07-29,18000.0,17880.0,18020.0,17620.0
2024-07-26,17880.0,18260.0,18260.0,17820.0
2024-07-25,18260.0,18240.0,18260.0,18140.0
2024-07-24,18380.0,18280.0,18380.0,18180.0
2024-07-23,18300.0,18300.0,18340.0,18180.0
2024-07-22,18300.0,18300.0,18360.0,18120.0
2024-07-19,18300.0,18100.0,18300.0,18080.0
2024-07-18,18200.0,18100.0,18200.0,18000.0
2024-07-17,18400.0,18460.0,18460.0,18300.0
2024-07-16,18460.0,18360.0,18460.0,18360.0
2024-07-15,18380.0,18180.0,18380.0,18140.0
2024-07-12,18260.0,18280.0,18300.0,18120.0
2024-07-11,18140.0,18120.0,18280.0,18120.0
2024-07-10,18100.0,18260.0,18380.0,18100.0
2024-07-09,18280.0,18340.0,18340.0,18200.0
2024-07-08,18400.0,18300.0,18400.0,18300.0
2024-07-05,18320.0,18320.0,18360.0,18240.0
2024-07-04,18380.0,18360.0,18480.0,18300.0
2024-07-03,18300.0,18320.0,18480.0,18260.0
2024-07-02,18200.0,18240.0,18400.0,18200.0
2024-06-28,18200.0,17980.0,18480.0,17960.0
2024-06-27,18020.0,18000.0,18100.0,17940.0
2024-06-26,17880.0,17840.0,18180.0,17840.0
2024-06-25,17740.0,17800.0,17880.0,17740.0
2024-06-24,18000.0,17900.0,18000.0,17820.0
2024-06-21,17740.0,17960.0,18060.0,17740.0
2024-06-20,17840.0,17720.0,18140.0,17720.0
2024-06-19,17720.0,18320.0,18340.0,17720.0
2024-06-18,18280.0,17900.0,18280.0,17880.0
2024-06-17,17600.0,17780.0,17860.0,17500.0
2024-06-14,17520.0,17720.0,17720.0,17520.0
2024-06-13,17700.0,18080.0,18140.0,17700.0
2024-06-12,18000.0,18320.0,18440.0,17880.0
2024-06-11,18200.0,18740.0,18800.0,18200.0
2024-06-07,18680.0,19060.0,19120.0,18680.0
2024-06-06,19060.0,19080.0,19100.0,19000.0
2024-06-05,19200.0,19100.0,19320.0,18940.0
2024-06-04,19000.0,19140.0,19180.0,18740.0
2024-05-31,19140.0,18560.0,19140.0,18500.0
2024-05-30,18840.0,18380.0,18840.0,18300.0
2024-05-29,18220.0,18480.0,18480.0,18220.0
2024-05-28,18320.0,18720.0,18860.0,18320.0
2024-05-27,19080.0,18380.0,19080.0,18380.0
2024-05-24,18580.0,18200.0,18580.0,18200.0
2024-05-23,18260.0,18120.0,18440.0,18100.0
2024-05-22,18440.0,18700.0,18700.0,18440.0
2024-05-21,18600.0,18860.0,18960.0,18600.0
