Fecha,Último,Apertura,Máximo,Mínimo
13.09.2024,"16.960,00","17.020,00","17.180,00","16.960,00"
12.09.2024,"17.020,00","16.920,00","17.140,00","16.900,00"
11.09.2024,"16.840,00","17.300,00","17.460,00","16.840,00"
10.09.2024,"17.160,00","17.500,00","17.500,00","17.160,00"
09.09.2024,"17.480,00","17.180,00","17.540,00","17.180,00"
06.09.2024,"17.320,00","17.400,00","17.560,00","17.320,00"
05.09.2024,"17.380,00","17.500,00","17.520,00","17.380,00"
04.09.2024,"17.420,00","17.700,00","17.860,00","17.420,00"
03.09.2024,"18.000,00","18.000,00","18.000,00","17.840,00"
02.09.2024,"17.940,00","17.520,00","18.060,00","17.520,00"
30.08.2024,"18.160,00","17.400,00","18.160,00","17.260,00"
29.08.2024,"17.420,00","17.420,00","17.420,00","17.160,00"
28.08.2024,"17.440,00","17.360,00","17.440,00","17.240,00"
27.08.2024,"17.340,00","17.220,00","17.420,00","17.200,00"
26.08.2024,"17.200,00","17.240,00","17.240,00","17.020,00"
23.08.2024,"17.260,00","17.620,00","17.620,00","17.260,00"
22.08.2024,"17.680,00","17.800,00","17.800,00","17.280,00"
21.08.2024,"17.940,00","18.040,00","18.040,00","17.840,00"
20.08.2024,"18.120,00","17.900,00","18.120,00","17.840,00"
16.08.2024,"18.200,00","18.180,00","18.200,00","17.920,00"
15.08.2024,"18.260,00","17.820,00","18.300,00","17.700,00"
14.08.2024,"18.380,00","17.500,00","18.380,00","17.500,00"
13.08.2024,"17.460,00","16.980,00","17.480,00","16.980,00"
12.08.2024,"16.860,00","16.420,00","16.960,00","16.420,00"
09.08.2024,"16.440,00","16.600,00","16.900,00","16.440,00"
08.08.2024,"16.600,00","16.740,00","17.000,00","16.600,00"
06.08.2024,"16.740,00","16.960,00","16.960,00","16.580,00"
05.08.2024,"16.400,00","17.020,00","17.020,00","16.300,00"
02.08.2024,"17.100,00","17.600,00","17.640,00","17.060,00"
01.08.2024,"17.600,00","17.660,00","17.660,00","17.600,00"
31.07.2024,"17.500,00","17.700,00","17.760,00","17.500,00"
30.07.2024,"17.640,00","17.860,00","17.880,00","17.640,00"
29.07.2024,"18.000,00","17.880,00","18.020,00","17.620,00"
26.07.2024,"17.880,00","18.260,00","18.260,00","17.820,00"
25.07.2024,"18.260,00","18.240,00","18.260,00","18.140,00"
24.07.2024,"18.380,00","18.280,00","18.380,00","18.180,00"
23.07.2024,"18.300,00","18.300,00","18.340,00","18.180,00"
22.07.2024,"18.300,00","18.300,00","18.360,00","18.120,00"
19.07.2024,"18.300,00","18.100,00","18.300,00","18.080,00"
18.07.2024,"18.200,00","18.100,00","18.200,00","18.000,00"
17.07.2024,"18.400,00","18.460,00","18.460,00","18.300,00"
16.07.2024,"18.460,00","18.360,00","18.460,00","18.360,00"
15.07.2024,"18.380,00","18.180,00","18.380,00","18.140,00"
12.07.2024,"18.260,00","18.280,00","18.300,00","18.120,00"
11.07.2024,"18.140,00","18.120,00","18.280,00","18.120,00"
10.07.2024,"18.100,00","18.260,00","18.380,00","18.100,00"
09.07.2024,"18.280,00","18.340,00","18.340,00","18.200,00"
08.07.2024,"18.400,00","18.300,00","18.400,00","18.300,00"
05.07.2024,"18.320,00","18.320,00","18.360,00","18.240,00"
04.07.2024,"18.380,00","18.360,00","18.480,00","18.300,00"
03.07.2024,"18.300,00","18.320,00","18.480,00","18.260,00"
02.07.2024,"18.200,00","18.240,00","18.400,00","18.200,00"
28.06.2024,"18.200,00","17.980,00","18.480,00","17.960,00"
27.06.2024,"18.020,00","18.000,00","18.100,00","17.940,00"
26.06.2024,"17.880,00","17.840,00","18.180,00","17.840,00"
25.06.2024,"17.740,00","17.800,00","17.880,00","17.740,00"
24.06.2024,"18.000,00","17.900,00","18.000,00","17.820,00"
21.06.2024,"17.740,00","17.960,00","18.060,00","17.740,00"
20.06.2024,"17.840,00","17.720,00","18.140,00","17.720,00"
19.06.2024,"17.720,00","18.320,00","18.340,00","17.720,00"
18.06.2024,"18.280,00","17.900,00","18.280,00","17.880,00"
17.06.2024,"17.600,00","17.780,00","17.860,00","17.500,00"
14.06.2024,"17.520,00","17.720,00","17.720,00","17.520,00"
13.06.2024,"17.700,00","18.080,00","18.140,00","17.700,00"
12.06.2024,"18.000,00","18.320,00","18.440,00","17.880,00"
11.06.2024,"18.200,00","18.740,00","18.800,00","18.200,00"
07.06.2024,"18.680,00","19.060,00","19.120,00","18.680,00"
06.06.2024,"19.060,00","19.080,00","19.100,00","19.000,00"
05.06.2024,"19.200,00","19.100,00","19.320,00","18.940,00"
04.06.2024,"19.000,00","19.140,00","19.180,00","18.740,00"
31.05.2024,"19.140,00","18.560,00","19.140,00","18.500,00"
30.05.2024,"18.840,00","18.380,00","18.840,00","18.300,00"
29.05.2024,"18.220,00","18.480,00","18.480,00","18.220,00"
28.05.2024,"18.320,00","18.720,00","18.860,00","18.320,00"
27.05.2024,"19.080,00","18.380,00","19.080,00","18.380,00"
24.05.2024,"18.580,00","18.200,00","18.580,00","18.200,00"
23.05.2024,"18.260,00","18.120,00","18.440,00","18.100,00"
22.05.2024,"18.440,00","18.700,00","18.700,00","18.440,00"
21.05.2024,"18.600,00","18.860,00","18.960,00","18.600,00"
20.05.2024,"18.760,00","18.940,00","18.960,00","18.760,00"
17.05.2024,"18.760,00","18.760,00","18.920,00","18.500,00"
16.05.2024,"18.760,00","18.880,00","18.900,00","18.720,00"
15.05.2024,"18.760,00","18.900,00","18.900,00","18.740,00"
14.05.2024,"18.800,00","18.740,00","18.860,00","18.720,00"
10.05.2024,"18.680,00","18.840,00","18.880,00","18.680,00"
09.05.2024,"18.740,00","18.840,00","19.000,00","18.720,00"
08.05.2024,"18.760,00","18.900,00","18.900,00","18.580,00"
07.05.2024,"18.760,00","19.040,00","19.180,00","18.760,00"
06.05.2024,"19.000,00","19.060,00","19.120,00","18.880,00"
03.05.2024,"19.100,00","18.800,00","19.100,00","18.600,00"
02.05.2024,"18.800,00","18.460,00","18.800,00","18.100,00"
30.04.2024,"18.100,00","18.780,00","18.880,00","18.100,00"
29.04.2024,"18.780,00","18.300,00","18.780,00","18.160,00"
26.04.2024,"18.060,00","18.100,00","18.180,00","17.940,00"
25.04.2024,"17.900,00","18.180,00","18.280,00","17.900,00"
24.04.2024,"18.200,00","17.840,00","18.300,00","17.700,00"
23.04.2024,"17.900,00","18.240,00","18.240,00","17.840,00"
22.04.2024,"18.100,00","18.540,00","18.560,00","18.080,00"
19.04.2024,"18.000,00","17.980,00","18.280,00","17.920,00"
18.04.2024,"17.980,00","18.400,00","18.400,00","17.860,00"
17.04.2024,"18.400,00","18.500,00","18.800,00","18.340,00"
16.04.2024,"18.500,00","18.600,00","19.020,00","18.500,00"
15.04.2024,"18.600,00","19.100,00","19.100,00","18.600,00"
12.04.2024,"19.000,00","19.700,00","19.800,00","19.000,00"
11.04.2024,"19.700,00","19.960,00","20.000,00","19.700,00"
10.04.2024,"19.800,00","19.740,00","20.140,00","19.740,00"
09.04.2024,"19.680,00","19.300,00","19.980,00","19.300,00"
08.04.2024,"19.200,00","19.500,00","19.580,00","19.100,00"
05.04.2024,"19.200,00","19.680,00","19.720,00","19.200,00"
04.04.2024,"19.640,00","19.740,00","19.800,00","19.640,00"
03.04.2024,"19.600,00","19.660,00","19.860,00","19.600,00"
02.04.2024,"19.860,00","19.700,00","19.980,00","19.560,00"
01.04.2024,"19.600,00","19.720,00","19.720,00","19.440,00"
27.03.2024,"19.780,00","19.440,00","19.780,00","19.260,00"
26.03.2024,"19.400,00","19.300,00","19.500,00","19.300,00"
22.03.2024,"19.420,00","19.340,00","19.420,00","19.240,00"
21.03.2024,"19.340,00","19.060,00","19.340,00","18.940,00"
20.03.2024,"19.100,00","19.400,00","19.460,00","18.980,00"
19.03.2024,"19.300,00","19.600,00","19.660,00","19.300,00"
18.03.2024,"19.700,00","19.140,00","20.340,00","19.000,00"
15.03.2024,"19.960,00","19.000,00","19.960,00","18.680,00"
14.03.2024,"19.200,00","18.280,00","19.200,00","18.280,00"
13.03.2024,"18.500,00","17.500,00","18.500,00","17.500,00"
12.03.2024,"17.640,00","18.060,00","18.240,00","17.080,00"
11.03.2024,"18.400,00","18.040,00","18.400,00","17.980,00"
08.03.2024,"18.200,00","18.000,00","18.480,00","18.000,00"
07.03.2024,"17.980,00","17.660,00","18.100,00","17.380,00"
06.03.2024,"17.740,00","17.280,00","17.980,00","17.280,00"
05.03.2024,"17.200,00","16.920,00","17.200,00","16.900,00"
04.03.2024,"16.900,00","16.860,00","16.980,00","16.600,00"
01.03.2024,"16.860,00","16.720,00","17.140,00","16.720,00"
29.02.2024,"16.720,00","17.180,00","17.180,00","16.680,00"
28.02.2024,"17.160,00","17.400,00","17.440,00","17.160,00"
27.02.2024,"17.340,00","17.180,00","17.400,00","17.180,00"
26.02.2024,"17.200,00","17.000,00","17.400,00","16.960,00"
23.02.2024,"17.100,00","17.140,00","17.140,00","17.060,00"
22.02.2024,"17.100,00","17.140,00","17.320,00","17.100,00"
21.02.2024,"17.140,00","16.640,00","17.180,00","16.640,00"
20.02.2024,"16.800,00","16.500,00","16.800,00","16.320,00"
19.02.2024,"16.600,00","16.300,00","16.600,00","16.000,00"
16.02.2024,"16.800,00","16.780,00","16.800,00","16.640,00"
15.02.2024,"16.600,00","16.560,00","16.820,00","16.560,00"
14.02.2024,"16.600,00","16.120,00","16.620,00","16.120,00"
13.02.2024,"16.000,00","16.220,00","16.220,00","16.000,00"
12.02.2024,"16.220,00","16.260,00","16.440,00","16.220,00"
09.02.2024,"16.140,00","16.520,00","16.520,00","16.140,00"
08.02.2024,"16.300,00","16.760,00","16.760,00","16.300,00"
07.02.2024,"16.760,00","16.840,00","16.860,00","16.740,00"
06.02.2024,"16.820,00","16.820,00","16.820,00","16.700,00"
05.02.2024,"16.880,00","16.900,00","16.940,00","16.860,00"
02.02.2024,"16.960,00","16.920,00","16.960,00","16.760,00"
01.02.2024,"16.960,00","16.980,00","17.000,00","16.880,00"
31.01.2024,"16.860,00","16.800,00","17.160,00","16.800,00"
30.01.2024,"16.800,00","17.160,00","17.160,00","16.800,00"
29.01.2024,"17.100,00","17.100,00","17.220,00","17.020,00"
26.01.2024,"17.100,00","16.980,00","17.280,00","16.860,00"
25.01.2024,"16.900,00","16.740,00","16.980,00","16.540,00"
24.01.2024,"16.740,00","16.960,00","16.960,00","16.720,00"
23.01.2024,"16.880,00","17.160,00","17.360,00","16.880,00"
22.01.2024,"17.000,00","17.000,00","17.220,00","16.800,00"
19.01.2024,"17.220,00","17.120,00","17.220,00","16.700,00"
18.01.2024,"17.020,00","17.640,00","17.640,00","17.020,00"
17.01.2024,"17.400,00","18.020,00","18.140,00","17.400,00"
16.01.2024,"18.040,00","17.540,00","18.060,00","17.540,00"
15.01.2024,"17.480,00","17.660,00","17.660,00","17.400,00"
12.01.2024,"17.700,00","17.400,00","17.700,00","17.400,00"
11.01.2024,"17.400,00","17.480,00","17.580,00","17.340,00"
10.01.2024,"17.400,00","17.680,00","17.940,00","17.320,00"
